SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
2X,1000,true,R10,astral_3_v5.7.7,heron02,1m13.488s,1m27.900s,0m2.981s
2X,1000,true,R11,astral_3_v5.7.7,heron03,1m13.268s,1m27.534s,0m2.572s
2X,1000,true,R12,astral_3_v5.7.7,heron01,1m11.406s,1m26.170s,0m2.345s
2X,1000,true,R13,astral_3_v5.7.7,heron06,1m11.580s,1m26.734s,0m2.243s
2X,1000,true,R14,astral_3_v5.7.7,heron03,1m13.332s,1m27.258s,0m2.214s
2X,1000,true,R15,astral_3_v5.7.7,heron09,1m12.327s,1m29.795s,0m2.563s
2X,1000,true,R16,astral_3_v5.7.7,heron08,1m10.936s,1m25.933s,0m2.520s
2X,1000,true,R17,astral_3_v5.7.7,heron00,2m23.276s,2m46.553s,0m4.072s
2X,1000,true,R18,astral_3_v5.7.7,heron11,1m13.475s,1m27.825s,0m2.865s
2X,1000,true,R19,astral_3_v5.7.7,heron07,1m13.115s,1m28.784s,0m2.121s
