SCAL,NGEN,NBPS,REPL,MTHD,QS,NQS
0.5X,1000,500,R20,fastral,110397766,0.5673644053859594
0.5X,1000,500,R2,fastral,110300788,0.5668660088395518
0.5X,1000,500,R3,fastral,111157207,0.5712673810257991
0.5X,1000,500,R4,fastral,110324006,0.5669853325110494
0.5X,1000,500,R5,fastral,110776120,0.5693088703875013
0.5X,1000,500,R6,fastral,110434237,0.5675518398602117
0.5X,1000,500,R7,fastral,109987194,0.56525436324391
0.5X,1000,500,R8,fastral,110986091,0.570387968958783
0.5X,1000,500,R9,fastral,110064309,0.5656506783842121
0.5X,1000,true,R10,fastral,120216663,0.6178264107308048
0.5X,1000,true,R11,fastral,119657892,0.6149547332716621
0.5X,1000,true,R12,fastral,119508675,0.6141878661732963
0.5X,1000,true,R13,fastral,119247521,0.6128457241237537
0.5X,1000,true,R14,fastral,119652008,0.6149244937814781
0.5X,1000,true,R15,fastral,119346265,0.6133531966286361
0.5X,1000,true,R16,fastral,119747334,0.6154144002466851
0.5X,1000,true,R17,fastral,120867968,0.6211736458012128
0.5X,1000,true,R18,fastral,120234791,0.61791957549594
0.5X,1000,true,R19,fastral,119500608,0.6141464076472402
0.5X,1000,true,R1,fastral,120472368,0.6191405488744989
0.5X,1000,true,R20,fastral,119919564,0.6162995374653099
0.5X,1000,true,R2,fastral,119539434,0.6143459451125501
0.5X,1000,true,R3,fastral,120359002,0.6185579299002981
0.5X,1000,true,R4,fastral,119251387,0.6128655925583307
0.5X,1000,true,R5,fastral,119011438,0.6116324288210505
0.5X,1000,true,R6,fastral,119222031,0.6127147240209683
0.5X,1000,true,R7,fastral,118726623,0.6101686864014801
0.5X,1000,true,R8,fastral,120128118,0.6173713536848597
0.5X,1000,true,R9,fastral,119613697,0.6147276030424504
1X,1000,500,R10,fastral,123498316,0.6346917257683216
1X,1000,500,R11,fastral,122431542,0.629209281529448
1X,1000,500,R12,fastral,123087353,0.6325796741700072
1X,1000,500,R13,fastral,123324232,0.6337970603350807
1X,1000,500,R14,fastral,123057614,0.6324268372905746
1X,1000,500,R15,fastral,122681717,0.6304949994860726
1X,1000,500,R16,fastral,122507706,0.6296007092198581
1X,1000,500,R17,fastral,122471761,0.6294159780039058
1X,1000,500,R18,fastral,122697983,0.630578594922397
1X,1000,500,R19,fastral,123233344,0.63332996196937
1X,1000,500,R1,fastral,122264504,0.6283508274231678
1X,1000,500,R20,fastral,123372233,0.6340437506424093
1X,1000,500,R2,fastral,123391886,0.6341447528009045
1X,1000,500,R3,fastral,122985861,0.6320580789392538
1X,1000,500,R4,fastral,124309052,0.6388583204851475
1X,1000,500,R5,fastral,123832186,0.636407575290369
