NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
200,50,13,bs,TQMC-wh_n2,12,12,0.12244897959183673,25470254.46,0.9081874387755101,0.9999739999999999,0.6924910102040817,0.687491
200,50,13,abayes,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,13,bs,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,13,abayes,TQMC-wh_n0,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,13,bs,TQMC-wh_n0,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,14,abayes,ASTER-wh,15,15,0.15306122448979592,61565980.81,0.8953705408163265,0.9999275000000001,0.6490082142857142,0.6384449999999999
200,50,14,bs,ASTER-wh,19,19,0.19387755102040816,24611499.9,0.9015486632653064,0.999996,0.6748450408163265,0.711454
200,50,14,abayes,ASTRID-ws,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,14,bs,ASTRID-ws,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,14,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,14,abayes,TQMC-n2,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,14,bs,TQMC-n2,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,14,abayes,TQMC-wn_n2,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,14,bs,TQMC-wn_n2,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,14,abayes,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,14,bs,TQMC-ws_n2,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,14,abayes,TQMC-wh_n2,14,14,0.14285714285714285,61521738.23,0.8724571632653062,0.9999305,0.643961081632653,0.6407935
200,50,14,bs,TQMC-wh_n2,17,17,0.17346938775510204,24611398.0,0.8995574285714285,0.999996,0.676598224489796,0.711454
200,50,14,abayes,TQMC-wh_n1,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,14,bs,TQMC-wh_n1,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,14,abayes,TQMC-wh_n0,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,14,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,15,abayes,ASTER-wh,8,8,0.08163265306122448,65484816.75,0.9155410510204082,0.9999925000000001,0.679863112244898,0.6843874999999999
200,50,15,bs,ASTER-wh,7,7,0.07142857142857142,27558013.05,0.9202206020408165,0.999999,0.7132367653061227,0.730234
200,50,15,abayes,ASTRID-ws,5,5,0.05102040816326531,NA,NA,NA,NA,NA
200,50,15,bs,ASTRID-ws,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,15,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,15,abayes,TQMC-n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,15,bs,TQMC-n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,15,abayes,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,15,bs,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,15,abayes,TQMC-ws_n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,15,bs,TQMC-ws_n2,7,7,0.07142857142857142,NA,NA,NA,NA,NA
200,50,15,abayes,TQMC-wh_n2,10,10,0.10204081632653061,65483077.24,0.9143885510204082,0.999995,0.6794047857142858,0.6868855
200,50,15,bs,TQMC-wh_n2,10,10,0.10204081632653061,27539618.8,0.9064857959183674,0.999999,0.7127856836734695,0.7453274999999999
200,50,15,abayes,TQMC-wh_n1,7,7,0.07142857142857142,NA,NA,NA,NA,NA
200,50,15,bs,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,15,abayes,TQMC-wh_n0,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,15,bs,TQMC-wh_n0,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,16,abayes,ASTER-wh,24,24,0.24489795918367346,52436070.12,0.8913422755102042,0.9999485,0.6610425918367346,0.6522859999999999
200,50,16,bs,ASTER-wh,24,24,0.24489795918367346,20901480.87,0.8950063265306123,0.9999835,0.6916478265306124,0.7169635
200,50,16,abayes,ASTRID-ws,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,16,bs,ASTRID-ws,21,21,0.21428571428571427,NA,NA,NA,NA,NA
200,50,16,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,16,abayes,TQMC-n2,25,25,0.25510204081632654,NA,NA,NA,NA,NA
200,50,16,bs,TQMC-n2,25,25,0.25510204081632654,NA,NA,NA,NA,NA
