NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF
200,50,19,bs,TQMC-wh_n0,21,21,0.21428571428571427
200,50,19,abayes,TQMC-wh_n0,19,19,0.19387755102040816
200,50,20,bs,ASTER-wh,16,16,0.16326530612244897
200,50,20,abayes,ASTER-wh,16,16,0.16326530612244897
200,50,20,bs,ASTRID-ws,15,15,0.15306122448979592
200,50,20,abayes,ASTRID-ws,16,16,0.16326530612244897
200,50,20,bs,TQMC-wh_n2,14,14,0.14285714285714285
200,50,20,abayes,TQMC-wh_n2,15,15,0.15306122448979592
200,50,20,none_keeppoly,TQMC-n2,14,14,0.14285714285714285
200,50,20,none_refinepoly,TQMC-n2,14,14,0.14285714285714285
200,50,20,bs,TQMC-ws_n2,15,15,0.15306122448979592
200,50,20,abayes,TQMC-ws_n2,13,13,0.1326530612244898
200,50,20,bs,TQMC-wh_n1,16,16,0.16326530612244897
200,50,20,abayes,TQMC-wh_n1,16,16,0.16326530612244897
200,50,20,bs,TQMC-wh_n0,17,17,0.17346938775510204
200,50,20,abayes,TQMC-wh_n0,16,16,0.16326530612244897
200,50,21,bs,ASTER-wh,23,23,0.23469387755102042
200,50,21,abayes,ASTER-wh,19,19,0.19387755102040816
200,50,21,bs,ASTRID-ws,18,18,0.1836734693877551
200,50,21,abayes,ASTRID-ws,20,20,0.20408163265306123
200,50,21,bs,TQMC-wh_n2,20,20,0.20408163265306123
200,50,21,abayes,TQMC-wh_n2,23,23,0.23469387755102042
200,50,21,none_keeppoly,TQMC-n2,25,25,0.25510204081632654
200,50,21,none_refinepoly,TQMC-n2,25,25,0.25510204081632654
200,50,21,bs,TQMC-ws_n2,20,20,0.20408163265306123
200,50,21,abayes,TQMC-ws_n2,25,25,0.25510204081632654
200,50,21,bs,TQMC-wh_n1,23,23,0.23469387755102042
200,50,21,abayes,TQMC-wh_n1,22,22,0.22448979591836735
200,50,21,bs,TQMC-wh_n0,26,26,0.2653061224489796
200,50,21,abayes,TQMC-wh_n0,25,25,0.25510204081632654
200,50,22,bs,ASTER-wh,12,12,0.12244897959183673
200,50,22,abayes,ASTER-wh,10,10,0.10204081632653061
200,50,22,bs,ASTRID-ws,16,16,0.16326530612244897
200,50,22,abayes,ASTRID-ws,13,13,0.1326530612244898
200,50,22,bs,TQMC-wh_n2,16,16,0.16326530612244897
200,50,22,abayes,TQMC-wh_n2,13,13,0.1326530612244898
200,50,22,none_keeppoly,TQMC-n2,18,18,0.1836734693877551
200,50,22,none_refinepoly,TQMC-n2,17,17,0.17346938775510204
200,50,22,bs,TQMC-ws_n2,14,14,0.14285714285714285
200,50,22,abayes,TQMC-ws_n2,15,15,0.15306122448979592
200,50,22,bs,TQMC-wh_n1,16,16,0.16326530612244897
200,50,22,abayes,TQMC-wh_n1,12,12,0.12244897959183673
200,50,22,bs,TQMC-wh_n0,15,15,0.15306122448979592
