SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
2X,1000,500,R15,quartets,heron05,10m45.876s,29m11.504s,12m34.870s
2X,1000,500,R16,quartets,heron01,10m58.919s,28m26.568s,13m8.193s
2X,1000,500,R17,quartets,heron06,10m55.153s,28m44.885s,13m1.114s
2X,1000,500,R18,quartets,heron09,11m30.640s,28m30.951s,14m4.173s
2X,1000,500,R19,quartets,heron08,10m51.028s,28m50.122s,12m48.298s
2X,1000,500,R1,quartets,heron02,11m17.445s,28m35.663s,13m14.544s
2X,1000,500,R20,quartets,heron00,20m30.239s,53m44.260s,24m21.838s
2X,1000,500,R2,quartets,heron10,10m54.754s,28m6.108s,13m10.979s
2X,1000,500,R3,quartets,heron04,11m39.928s,29m7.077s,13m57.727s
2X,1000,500,R4,quartets,heron03,11m38.745s,28m58.279s,13m57.839s
2X,1000,500,R5,quartets,heron01,11m12.646s,27m51.134s,13m27.453s
2X,1000,500,R6,quartets,heron06,11m4.870s,28m1.655s,13m12.670s
2X,1000,500,R7,quartets,heron09,11m50.906s,28m28.793s,14m18.083s
2X,1000,500,R8,quartets,heron08,10m34.926s,29m11.123s,12m23.974s
2X,1000,500,R9,quartets,heron02,11m24.079s,29m20.637s,13m22.045s
2X,1000,true,R10,quartets,heron02,11m2.911s,28m50.416s,12m54.941s
2X,1000,true,R11,quartets,heron03,11m22.917s,29m1.327s,13m30.546s
2X,1000,true,R12,quartets,heron01,10m59.467s,28m0.752s,13m9.876s
2X,1000,true,R13,quartets,heron06,10m52.808s,28m15.297s,13m0.308s
2X,1000,true,R14,quartets,heron03,11m13.180s,28m52.080s,13m15.626s
2X,1000,true,R15,quartets,heron09,11m20.329s,29m29.010s,13m32.930s
2X,1000,true,R16,quartets,heron08,10m29.262s,29m40.033s,12m12.624s
2X,1000,true,R17,quartets,heron00,20m24.158s,53m35.732s,24m0.001s
2X,1000,true,R18,quartets,heron11,10m42.937s,28m17.124s,12m40.465s
2X,1000,true,R19,quartets,heron07,11m18.380s,28m34.768s,13m38.473s
2X,1000,true,R1,quartets,heron01,10m57.428s,28m5.973s,13m6.608s
2X,1000,true,R20,quartets,heron05,11m1.748s,29m24.544s,13m1.989s
2X,1000,true,R2,quartets,heron06,10m54.033s,28m23.681s,13m1.461s
2X,1000,true,R3,quartets,heron09,11m11.812s,28m53.348s,13m22.188s
2X,1000,true,R4,quartets,heron08,10m52.836s,30m6.036s,12m48.900s
2X,1000,true,R5,quartets,heron11,10m56.251s,28m18.905s,12m55.124s
2X,1000,true,R6,quartets,heron05,10m39.753s,28m17.648s,12m29.353s
2X,1000,true,R7,quartets,heron07,11m9.610s,28m36.038s,13m19.003s
2X,1000,true,R8,quartets,heron04,11m34.452s,28m53.384s,13m48.198s
2X,1000,true,R9,quartets,heron10,10m49.534s,29m1.098s,12m59.815s
