SCAL,NGEN,NBPS,REPL,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
0.5X,1000,500,R8,astral_3_v5.7.7,heron01,7,0.155556,0.5700378867303937,255.577,0.0
0.5X,1000,500,R8,fastral,heron01,6,0.13333299999999998,0.570387968958783,20.736,0.0
0.5X,1000,500,R8,wqfm_v1.3,heron01,5,0.11111099999999999,0.5702454722993113,703.341,0.9446726410091265
0.5X,1000,500,R8,wqmc_v3.0,heron01,11,0.244444,0.5668285435296536,665.725,0.9980502459724361
0.5X,1000,500,R8,TRUE,heron01,0,0.0,0.5702033199712201,0.0,0.0
0.5X,1000,500,R9,treeqmc_n0_v1.0.0,heron06,5,0.11111099999999999,0.5650825470243601,10.561,0.0
0.5X,1000,500,R9,treeqmc_n1_v1.0.0,heron06,3,0.06666699999999999,0.5655807482783431,11.284,0.0
0.5X,1000,500,R9,treeqmc_n2_v1.0.0,heron06,2,0.044444,0.5651663942851269,11.299,0.0
0.5X,1000,500,R9,astral_3_v5.7.7,heron06,3,0.06666699999999999,0.5655003751670264,249.701,0.0
0.5X,1000,500,R9,fastral,heron06,2,0.044444,0.5656506783842121,21.135,0.0
0.5X,1000,500,R9,wqfm_v1.3,heron06,2,0.044444,0.5651663942851269,694.2189999999999,0.9429128272202288
0.5X,1000,500,R9,wqmc_v3.0,heron06,7,0.155556,0.5629815397265906,655.894,0.9980088245966573
0.5X,1000,500,R9,TRUE,heron06,0,0.0,0.5655570562236613,0.0,0.0
0.5X,1000,500,R10,treeqmc_n0_v1.0.0,heron05,3,0.06666699999999999,0.5695476770480008,10.801,0.0
0.5X,1000,500,R10,treeqmc_n1_v1.0.0,heron05,3,0.06666699999999999,0.5695997430362832,11.185,0.0
0.5X,1000,500,R10,treeqmc_n2_v1.0.0,heron05,1,0.022222,0.5694130588960838,11.173,0.0
0.5X,1000,500,R10,astral_3_v5.7.7,heron05,5,0.11111099999999999,0.5694767858978312,242.959,0.0
0.5X,1000,500,R10,fastral,heron05,4,0.088889,0.569610895261589,20.756,0.0
0.5X,1000,500,R10,wqfm_v1.3,heron05,4,0.088889,0.5695385548360572,692.1270000000001,0.9394504187815241
0.5X,1000,500,R10,wqmc_v3.0,heron05,12,0.266667,0.5629959451125501,651.556,0.9979479891214262
0.5X,1000,500,R10,TRUE,heron05,0,0.0,0.569454717853839,0.0,0.0
0.5X,1000,500,R11,treeqmc_n0_v1.0.0,heron09,3,0.06666699999999999,0.5693870490286772,10.738,0.0
0.5X,1000,500,R11,treeqmc_n1_v1.0.0,heron09,4,0.088889,0.5694019118100524,11.343,0.0
0.5X,1000,500,R11,treeqmc_n2_v1.0.0,heron09,3,0.06666699999999999,0.5693870490286772,11.325,0.0
0.5X,1000,500,R11,astral_3_v5.7.7,heron09,6,0.13333299999999998,0.5689863552266421,254.222,0.0
0.5X,1000,500,R11,fastral,heron09,7,0.155556,0.5694180851063829,20.541,0.0
0.5X,1000,500,R11,wqfm_v1.3,heron09,4,0.088889,0.5693757117894953,709.5219999999999,0.9450235510667746
0.5X,1000,500,R11,wqmc_v3.0,heron09,8,0.177778,0.5678284150477952,671.867,0.9979876969697872
0.5X,1000,500,R11,TRUE,heron09,0,0.0,0.5688976821872752,0.0,0.0
0.5X,1000,500,R12,treeqmc_n0_v1.0.0,heron07,5,0.11111099999999999,0.5670288107719189,10.693,0.0
0.5X,1000,500,R12,treeqmc_n1_v1.0.0,heron07,8,0.177778,0.5666582588138555,11.152,0.0
0.5X,1000,500,R12,treeqmc_n2_v1.0.0,heron07,6,0.13333299999999998,0.5668569534381745,11.141,0.0
