NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
10,medium,shallow,24,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,24,none,50,TQMC-n2,1,0.125
10,medium,shallow,24,abayes,50,TQMC-ws_n2,2,0.25
10,medium,shallow,24,sh,50,TQMC-ws_n2,1,0.125
10,medium,shallow,24,abayes,50,TQMC-wh_n2,2,0.25
10,medium,shallow,24,sh,50,TQMC-wh_n2,1,0.125
10,medium,shallow,24,abayes,50,ASTER-wh,1,0.125
10,medium,shallow,24,sh,50,ASTER-wh,1,0.125
10,medium,shallow,24,abayes,50,ASTRID-ws,1,0.125
10,medium,shallow,24,sh,50,ASTRID-ws,1,0.125
10,medium,shallow,25,none,50,CA-ML,0,0.0
10,medium,shallow,25,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,25,none,50,TQMC-n2,0,0.0
10,medium,shallow,25,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,25,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,25,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,25,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,25,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,25,sh,50,ASTER-wh,0,0.0
10,medium,shallow,25,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,25,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,26,none,50,CA-ML,1,0.125
10,medium,shallow,26,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,26,none,50,TQMC-n2,1,0.125
10,medium,shallow,26,abayes,50,TQMC-ws_n2,1,0.125
10,medium,shallow,26,sh,50,TQMC-ws_n2,1,0.125
10,medium,shallow,26,abayes,50,TQMC-wh_n2,1,0.125
10,medium,shallow,26,sh,50,TQMC-wh_n2,1,0.125
10,medium,shallow,26,abayes,50,ASTER-wh,1,0.125
10,medium,shallow,26,sh,50,ASTER-wh,1,0.125
10,medium,shallow,26,abayes,50,ASTRID-ws,1,0.125
10,medium,shallow,26,sh,50,ASTRID-ws,1,0.125
10,medium,shallow,27,none,50,CA-ML,0,0.0
10,medium,shallow,27,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,27,none,50,TQMC-n2,0,0.0
10,medium,shallow,27,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,27,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,27,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,27,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,27,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,27,sh,50,ASTER-wh,0,0.0
10,medium,shallow,27,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,27,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,28,none,50,CA-ML,0,0.0
10,medium,shallow,28,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,28,none,50,TQMC-n2,0,0.0
10,medium,shallow,28,abayes,50,TQMC-ws_n2,1,0.125
10,medium,shallow,28,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,28,abayes,50,TQMC-wh_n2,1,0.125
