"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
10,"medium","shallow",44,"sh",1000,"ASTER-wh (16 threads)","cbcb10",23,2.875,0.126
10,"medium","shallow",45,"sh",1000,"ASTRID-ws","cbcb11",23,2.875,0.047
10,"medium","shallow",45,"sh",1000,"TQMC-wh_n2","cbcb11",23,2.875,0.343
10,"medium","shallow",45,"sh",1000,"ASTER-wh (1 thread)","cbcb11",23,2.875,0.951
10,"medium","shallow",45,"sh",1000,"ASTER-wh (16 threads)","cbcb11",23,2.875,0.095
10,"medium","shallow",46,"sh",1000,"ASTRID-ws","cbcb12",23,2.875,0.063
10,"medium","shallow",46,"sh",1000,"TQMC-wh_n2","cbcb12",23,2.875,0.35
10,"medium","shallow",46,"sh",1000,"ASTER-wh (1 thread)","cbcb12",23,2.875,0.499
10,"medium","shallow",46,"sh",1000,"ASTER-wh (16 threads)","cbcb12",23,2.875,0.112
10,"medium","shallow",47,"sh",1000,"ASTRID-ws","cbcb07",23,2.875,0.053
10,"medium","shallow",47,"sh",1000,"TQMC-wh_n2","cbcb07",23,2.875,0.383
10,"medium","shallow",47,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,2.875,0.698
10,"medium","shallow",47,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,2.875,0.155
10,"medium","shallow",48,"sh",1000,"ASTRID-ws","cbcb08",23,2.875,0.046
10,"medium","shallow",48,"sh",1000,"TQMC-wh_n2","cbcb08",23,2.875,0.311
10,"medium","shallow",48,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,2.875,0.485
10,"medium","shallow",48,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,2.875,0.087
10,"medium","shallow",49,"sh",1000,"ASTRID-ws","cbcb09",23,2.875,0.059
10,"medium","shallow",49,"sh",1000,"TQMC-wh_n2","cbcb09",23,2.875,0.354
10,"medium","shallow",49,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,2.875,0.725
10,"medium","shallow",49,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,2.875,0.177
10,"medium","shallow",50,"sh",1000,"ASTRID-ws","cbcb03",23,2.875,0.058
10,"medium","shallow",50,"sh",1000,"TQMC-wh_n2","cbcb03",23,2.875,0.326
10,"medium","shallow",50,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,2.875,0.938
10,"medium","shallow",50,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,2.875,0.18
50,"medium","shallow",1,"sh",1000,"ASTRID-ws","cbcb10",23,0.4791666666666667,0.127
50,"medium","shallow",1,"sh",1000,"TQMC-wh_n2","cbcb10",23,0.4791666666666667,7.368
50,"medium","shallow",1,"sh",1000,"ASTER-wh (1 thread)","cbcb10",23,0.4791666666666667,50.271
50,"medium","shallow",1,"sh",1000,"ASTER-wh (16 threads)","cbcb10",23,0.4791666666666667,2.149
50,"medium","shallow",2,"sh",1000,"ASTRID-ws","cbcb13",23,0.4791666666666667,0.174
50,"medium","shallow",2,"sh",1000,"TQMC-wh_n2","cbcb13",23,0.4791666666666667,7.032
50,"medium","shallow",2,"sh",1000,"ASTER-wh (1 thread)","cbcb13",23,0.4791666666666667,33.045
50,"medium","shallow",2,"sh",1000,"ASTER-wh (16 threads)","cbcb13",23,0.4791666666666667,1.524
50,"medium","shallow",3,"sh",1000,"ASTRID-ws","cbcb05",23,0.4791666666666667,0.118
50,"medium","shallow",3,"sh",1000,"TQMC-wh_n2","cbcb05",23,0.4791666666666667,7.185
50,"medium","shallow",3,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,0.4791666666666667,34.756
50,"medium","shallow",3,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,0.4791666666666667,2.085
50,"medium","shallow",4,"sh",1000,"ASTRID-ws","cbcb06",23,0.4791666666666667,0.147
50,"medium","shallow",4,"sh",1000,"TQMC-wh_n2","cbcb06",23,0.4791666666666667,7.107
50,"medium","shallow",4,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,0.4791666666666667,34.073
50,"medium","shallow",4,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,0.4791666666666667,2.11
50,"medium","shallow",5,"sh",1000,"ASTRID-ws","cbcb07",23,0.4791666666666667,0.164
50,"medium","shallow",5,"sh",1000,"TQMC-wh_n2","cbcb07",23,0.4791666666666667,7.417
50,"medium","shallow",5,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,0.4791666666666667,23.499
50,"medium","shallow",5,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,0.4791666666666667,1.958
50,"medium","shallow",6,"sh",1000,"ASTRID-ws","cbcb12",23,0.4791666666666667,0.152
50,"medium","shallow",6,"sh",1000,"TQMC-wh_n2","cbcb12",23,0.4791666666666667,7.519
50,"medium","shallow",6,"sh",1000,"ASTER-wh (1 thread)","cbcb12",23,0.4791666666666667,31.672
50,"medium","shallow",6,"sh",1000,"ASTER-wh (16 threads)","cbcb12",23,0.4791666666666667,2.911
50,"medium","shallow",7,"sh",1000,"ASTRID-ws","cbcb11",23,0.4791666666666667,0.133
50,"medium","shallow",7,"sh",1000,"TQMC-wh_n2","cbcb11",23,0.4791666666666667,7.985
50,"medium","shallow",7,"sh",1000,"ASTER-wh (1 thread)","cbcb11",23,0.4791666666666667,21.276
50,"medium","shallow",7,"sh",1000,"ASTER-wh (16 threads)","cbcb11",23,0.4791666666666667,3.047
50,"medium","shallow",8,"sh",1000,"ASTRID-ws","cbcb08",23,0.4791666666666667,0.141
50,"medium","shallow",8,"sh",1000,"TQMC-wh_n2","cbcb08",23,0.4791666666666667,7.38
50,"medium","shallow",8,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,0.4791666666666667,23.281
50,"medium","shallow",8,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,0.4791666666666667,2.145
50,"medium","shallow",9,"sh",1000,"ASTRID-ws","cbcb03",23,0.4791666666666667,0.157
50,"medium","shallow",9,"sh",1000,"TQMC-wh_n2","cbcb03",23,0.4791666666666667,7.588
50,"medium","shallow",9,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,0.4791666666666667,20.774
50,"medium","shallow",9,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,0.4791666666666667,2.09
50,"medium","shallow",10,"sh",1000,"ASTRID-ws","cbcb09",23,0.4791666666666667,0.153
50,"medium","shallow",10,"sh",1000,"TQMC-wh_n2","cbcb09",23,0.4791666666666667,6.942
50,"medium","shallow",10,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,0.4791666666666667,28.321
50,"medium","shallow",10,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,0.4791666666666667,2.294
50,"medium","shallow",11,"sh",1000,"ASTRID-ws","cbcb14",23,0.4791666666666667,0.157
50,"medium","shallow",11,"sh",1000,"TQMC-wh_n2","cbcb14",23,0.4791666666666667,7.572
50,"medium","shallow",11,"sh",1000,"ASTER-wh (1 thread)","cbcb14",23,0.4791666666666667,32.945
50,"medium","shallow",11,"sh",1000,"ASTER-wh (16 threads)","cbcb14",23,0.4791666666666667,2.116
50,"medium","shallow",12,"sh",1000,"ASTRID-ws","cbcb15",23,0.4791666666666667,0.136
50,"medium","shallow",12,"sh",1000,"TQMC-wh_n2","cbcb15",23,0.4791666666666667,7.055
50,"medium","shallow",12,"sh",1000,"ASTER-wh (1 thread)","cbcb15",23,0.4791666666666667,23.412
50,"medium","shallow",12,"sh",1000,"ASTER-wh (16 threads)","cbcb15",23,0.4791666666666667,2.59
50,"medium","shallow",13,"sh",1000,"ASTRID-ws","cbcb16",23,0.4791666666666667,0.155
50,"medium","shallow",13,"sh",1000,"TQMC-wh_n2","cbcb16",23,0.4791666666666667,7.117
50,"medium","shallow",13,"sh",1000,"ASTER-wh (1 thread)","cbcb16",23,0.4791666666666667,38.405
50,"medium","shallow",13,"sh",1000,"ASTER-wh (16 threads)","cbcb16",23,0.4791666666666667,2.54
50,"medium","shallow",14,"sh",1000,"ASTRID-ws","cbcb17",23,0.4791666666666667,0.14
50,"medium","shallow",14,"sh",1000,"TQMC-wh_n2","cbcb17",23,0.4791666666666667,7.471
50,"medium","shallow",14,"sh",1000,"ASTER-wh (1 thread)","cbcb17",23,0.4791666666666667,31.188
50,"medium","shallow",14,"sh",1000,"ASTER-wh (16 threads)","cbcb17",23,0.4791666666666667,2.192
50,"medium","shallow",15,"sh",1000,"ASTRID-ws","cbcb18",23,0.4791666666666667,0.156
50,"medium","shallow",15,"sh",1000,"TQMC-wh_n2","cbcb18",23,0.4791666666666667,7.054
50,"medium","shallow",15,"sh",1000,"ASTER-wh (1 thread)","cbcb18",23,0.4791666666666667,21.039
50,"medium","shallow",15,"sh",1000,"ASTER-wh (16 threads)","cbcb18",23,0.4791666666666667,1.651
50,"medium","shallow",16,"sh",1000,"ASTRID-ws","cbcb19",23,0.4791666666666667,0.133
50,"medium","shallow",16,"sh",1000,"TQMC-wh_n2","cbcb19",23,0.4791666666666667,7.574
50,"medium","shallow",16,"sh",1000,"ASTER-wh (1 thread)","cbcb19",23,0.4791666666666667,42.713
50,"medium","shallow",16,"sh",1000,"ASTER-wh (16 threads)","cbcb19",23,0.4791666666666667,2.225
50,"medium","shallow",17,"sh",1000,"ASTRID-ws","cbcb20",23,0.4791666666666667,0.16
50,"medium","shallow",17,"sh",1000,"TQMC-wh_n2","cbcb20",23,0.4791666666666667,6.834
50,"medium","shallow",17,"sh",1000,"ASTER-wh (1 thread)","cbcb20",23,0.4791666666666667,24.065
50,"medium","shallow",17,"sh",1000,"ASTER-wh (16 threads)","cbcb20",23,0.4791666666666667,3.294
50,"medium","shallow",18,"sh",1000,"ASTRID-ws","cbcb21",23,0.4791666666666667,0.133
50,"medium","shallow",18,"sh",1000,"TQMC-wh_n2","cbcb21",23,0.4791666666666667,7.598
50,"medium","shallow",18,"sh",1000,"ASTER-wh (1 thread)","cbcb21",23,0.4791666666666667,33.524
50,"medium","shallow",18,"sh",1000,"ASTER-wh (16 threads)","cbcb21",23,0.4791666666666667,3.847
50,"medium","shallow",19,"sh",1000,"ASTRID-ws","cbcb03",23,0.4791666666666667,0.237
50,"medium","shallow",19,"sh",1000,"TQMC-wh_n2","cbcb03",23,0.4791666666666667,7.241
50,"medium","shallow",19,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,0.4791666666666667,41.011
50,"medium","shallow",19,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,0.4791666666666667,1.775
50,"medium","shallow",20,"sh",1000,"ASTRID-ws","cbcb08",23,0.4791666666666667,0.134
50,"medium","shallow",20,"sh",1000,"TQMC-wh_n2","cbcb08",23,0.4791666666666667,7.081
50,"medium","shallow",20,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,0.4791666666666667,22.139
50,"medium","shallow",20,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,0.4791666666666667,4.436
50,"medium","shallow",22,"sh",1000,"ASTRID-ws","cbcb11",23,0.4791666666666667,0.125
50,"medium","shallow",22,"sh",1000,"TQMC-wh_n2","cbcb11",23,0.4791666666666667,7.118
50,"medium","shallow",22,"sh",1000,"ASTER-wh (1 thread)","cbcb11",23,0.4791666666666667,34.123
50,"medium","shallow",22,"sh",1000,"ASTER-wh (16 threads)","cbcb11",23,0.4791666666666667,1.603
50,"medium","shallow",23,"sh",1000,"ASTRID-ws","cbcb18",23,0.4791666666666667,0.155
