"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
200,"low","shallow",3,"sh",1000,"ASTER-wh (16 threads)","cbcb14",23,0.11616161616161616,41.236
200,"low","shallow",4,"sh",1000,"ASTRID-ws","cbcb19",23,0.11616161616161616,0.266
200,"low","shallow",4,"sh",1000,"TQMC-wh_n2","cbcb19",23,0.11616161616161616,154.364
200,"low","shallow",4,"sh",1000,"ASTER-wh (1 thread)","cbcb19",23,0.11616161616161616,666.528
200,"low","shallow",4,"sh",1000,"ASTER-wh (16 threads)","cbcb19",23,0.11616161616161616,37.263
200,"low","shallow",5,"sh",1000,"ASTRID-ws","cbcb12",23,0.11616161616161616,0.264
200,"low","shallow",5,"sh",1000,"TQMC-wh_n2","cbcb12",23,0.11616161616161616,164.317
200,"low","shallow",5,"sh",1000,"ASTER-wh (1 thread)","cbcb12",23,0.11616161616161616,444.821
200,"low","shallow",5,"sh",1000,"ASTER-wh (16 threads)","cbcb12",23,0.11616161616161616,24.504
200,"low","shallow",6,"sh",1000,"ASTRID-ws","cbcb15",23,0.11616161616161616,0.263
200,"low","shallow",6,"sh",1000,"TQMC-wh_n2","cbcb15",23,0.11616161616161616,159.49099999999999
200,"low","shallow",6,"sh",1000,"ASTER-wh (1 thread)","cbcb15",23,0.11616161616161616,749.547
200,"low","shallow",6,"sh",1000,"ASTER-wh (16 threads)","cbcb15",23,0.11616161616161616,56.462
200,"low","shallow",7,"sh",1000,"ASTRID-ws","cbcb05",23,0.11616161616161616,0.272
200,"low","shallow",7,"sh",1000,"TQMC-wh_n2","cbcb05",23,0.11616161616161616,164.102
200,"low","shallow",7,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,0.11616161616161616,765.101
200,"low","shallow",7,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,0.11616161616161616,75.977
200,"low","shallow",8,"sh",1000,"ASTRID-ws","cbcb04",23,0.11616161616161616,0.262
200,"low","shallow",8,"sh",1000,"TQMC-wh_n2","cbcb04",23,0.11616161616161616,155.611
200,"low","shallow",8,"sh",1000,"ASTER-wh (1 thread)","cbcb04",23,0.11616161616161616,562.893
200,"low","shallow",8,"sh",1000,"ASTER-wh (16 threads)","cbcb04",23,0.11616161616161616,32.833
200,"low","shallow",9,"sh",1000,"ASTRID-ws","cbcb07",23,0.11616161616161616,0.282
200,"low","shallow",9,"sh",1000,"TQMC-wh_n2","cbcb07",23,0.11616161616161616,164.882
200,"low","shallow",9,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,0.11616161616161616,513.403
200,"low","shallow",9,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,0.11616161616161616,50.292
200,"low","shallow",10,"sh",1000,"ASTRID-ws","cbcb17",23,0.11616161616161616,0.264
200,"low","shallow",10,"sh",1000,"TQMC-wh_n2","cbcb17",23,0.11616161616161616,160.001
200,"low","shallow",10,"sh",1000,"ASTER-wh (1 thread)","cbcb17",23,0.11616161616161616,753.134
200,"low","shallow",10,"sh",1000,"ASTER-wh (16 threads)","cbcb17",23,0.11616161616161616,44.357
200,"low","shallow",11,"sh",1000,"ASTRID-ws","cbcb16",23,0.11616161616161616,0.27
200,"low","shallow",11,"sh",1000,"TQMC-wh_n2","cbcb16",23,0.11616161616161616,152.877
200,"low","shallow",11,"sh",1000,"ASTER-wh (1 thread)","cbcb16",23,0.11616161616161616,524.227
200,"low","shallow",11,"sh",1000,"ASTER-wh (16 threads)","cbcb16",23,0.11616161616161616,29.865
200,"low","shallow",12,"sh",1000,"ASTRID-ws","cbcb18",23,0.11616161616161616,0.278
200,"low","shallow",12,"sh",1000,"TQMC-wh_n2","cbcb18",23,0.11616161616161616,167.448
200,"low","shallow",12,"sh",1000,"ASTER-wh (1 thread)","cbcb18",23,0.11616161616161616,1027.499
200,"low","shallow",12,"sh",1000,"ASTER-wh (16 threads)","cbcb18",23,0.11616161616161616,30.07
200,"low","shallow",13,"sh",1000,"ASTRID-ws","cbcb20",23,0.11616161616161616,0.272
200,"low","shallow",13,"sh",1000,"TQMC-wh_n2","cbcb20",23,0.11616161616161616,153.147
200,"low","shallow",13,"sh",1000,"ASTER-wh (1 thread)","cbcb20",23,0.11616161616161616,813.69
200,"low","shallow",13,"sh",1000,"ASTER-wh (16 threads)","cbcb20",23,0.11616161616161616,38.231
200,"low","shallow",14,"sh",1000,"ASTRID-ws","cbcb03",23,0.11616161616161616,0.266
200,"low","shallow",14,"sh",1000,"TQMC-wh_n2","cbcb03",23,0.11616161616161616,151.635
200,"low","shallow",14,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,0.11616161616161616,656.74
200,"low","shallow",14,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,0.11616161616161616,35.113
200,"low","shallow",15,"sh",1000,"ASTRID-ws","cbcb13",23,0.11616161616161616,0.265
200,"low","shallow",15,"sh",1000,"TQMC-wh_n2","cbcb13",23,0.11616161616161616,157.95600000000002
200,"low","shallow",15,"sh",1000,"ASTER-wh (1 thread)","cbcb13",23,0.11616161616161616,537.026
200,"low","shallow",15,"sh",1000,"ASTER-wh (16 threads)","cbcb13",23,0.11616161616161616,41.636
200,"low","shallow",16,"sh",1000,"ASTRID-ws","cbcb09",23,0.11616161616161616,0.265
200,"low","shallow",16,"sh",1000,"TQMC-wh_n2","cbcb09",23,0.11616161616161616,155.672
200,"low","shallow",16,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,0.11616161616161616,480.207
200,"low","shallow",16,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,0.11616161616161616,45.211
200,"low","shallow",17,"sh",1000,"ASTRID-ws","cbcb11",23,0.11616161616161616,0.264
