NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
200,low,deep,22,abayes,50,ASTRID-ws,5,0.025252525252525252
200,low,deep,22,sh,50,ASTRID-ws,7,0.03535353535353535
200,low,deep,23,none,50,CA-ML,6,0.030303030303030304
200,low,deep,23,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,23,none,50,TQMC-n2,4,0.020202020202020204
200,low,deep,23,abayes,50,TQMC-ws_n2,6,0.030303030303030304
200,low,deep,23,sh,50,TQMC-ws_n2,5,0.025252525252525252
200,low,deep,23,abayes,50,TQMC-wh_n2,6,0.030303030303030304
200,low,deep,23,sh,50,TQMC-wh_n2,7,0.03535353535353535
200,low,deep,23,abayes,50,ASTER-wh,5,0.025252525252525252
200,low,deep,23,sh,50,ASTER-wh,3,0.015151515151515152
200,low,deep,23,abayes,50,ASTRID-ws,7,0.03535353535353535
200,low,deep,23,sh,50,ASTRID-ws,7,0.03535353535353535
200,low,deep,24,none,50,CA-ML,25,0.12626262626262627
200,low,deep,24,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,24,none,50,TQMC-n2,55,0.2777777777777778
200,low,deep,24,abayes,50,TQMC-ws_n2,30,0.15151515151515152
200,low,deep,24,sh,50,TQMC-ws_n2,45,0.22727272727272727
200,low,deep,24,abayes,50,TQMC-wh_n2,31,0.15656565656565657
200,low,deep,24,sh,50,TQMC-wh_n2,46,0.23232323232323232
200,low,deep,24,abayes,50,ASTER-wh,31,0.15656565656565657
200,low,deep,24,sh,50,ASTER-wh,47,0.23737373737373738
200,low,deep,24,abayes,50,ASTRID-ws,30,0.15151515151515152
200,low,deep,24,sh,50,ASTRID-ws,40,0.20202020202020202
200,low,deep,25,none,50,CA-ML,4,0.020202020202020204
200,low,deep,25,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,25,none,50,TQMC-n2,18,0.09090909090909091
200,low,deep,25,abayes,50,TQMC-ws_n2,14,0.0707070707070707
200,low,deep,25,sh,50,TQMC-ws_n2,18,0.09090909090909091
200,low,deep,25,abayes,50,TQMC-wh_n2,10,0.050505050505050504
200,low,deep,25,sh,50,TQMC-wh_n2,17,0.08585858585858586
200,low,deep,25,abayes,50,ASTER-wh,11,0.05555555555555555
200,low,deep,25,sh,50,ASTER-wh,19,0.09595959595959595
200,low,deep,25,abayes,50,ASTRID-ws,20,0.10101010101010101
200,low,deep,25,sh,50,ASTRID-ws,23,0.11616161616161616
200,low,deep,26,none,50,CA-ML,5,0.025252525252525252
200,low,deep,26,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,26,none,50,TQMC-n2,11,0.05555555555555555
200,low,deep,26,abayes,50,TQMC-ws_n2,13,0.06565656565656566
200,low,deep,26,sh,50,TQMC-ws_n2,13,0.06565656565656566
200,low,deep,26,abayes,50,TQMC-wh_n2,12,0.06060606060606061
200,low,deep,26,sh,50,TQMC-wh_n2,12,0.06060606060606061
200,low,deep,26,abayes,50,ASTER-wh,14,0.0707070707070707
200,low,deep,26,sh,50,ASTER-wh,10,0.050505050505050504
200,low,deep,26,abayes,50,ASTRID-ws,15,0.07575757575757576
200,low,deep,26,sh,50,ASTRID-ws,14,0.0707070707070707
200,low,deep,27,none,50,CA-ML,10,0.050505050505050504
200,low,deep,27,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,27,none,50,TQMC-n2,8,0.04040404040404041
200,low,deep,27,abayes,50,TQMC-ws_n2,10,0.050505050505050504
200,low,deep,27,sh,50,TQMC-ws_n2,8,0.04040404040404041
200,low,deep,27,abayes,50,TQMC-wh_n2,10,0.050505050505050504
