SCAL,NGEN,NBPS,REPL,GENE,NL,I1,I2,FN,FP,RF
noscale,200g,1000b,R11,184,37,34,34,16,16,0.470588
noscale,200g,1000b,R11,185,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,186,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,187,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,188,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,189,37,34,34,8,8,0.235294
noscale,200g,1000b,R11,190,37,34,34,9,9,0.264706
noscale,200g,1000b,R11,191,37,34,34,15,15,0.441176
noscale,200g,1000b,R11,192,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,193,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,194,37,34,34,6,6,0.176471
noscale,200g,1000b,R11,195,37,34,34,13,13,0.382353
noscale,200g,1000b,R11,196,37,34,34,14,14,0.411765
noscale,200g,1000b,R11,197,37,34,34,12,12,0.352941
noscale,200g,1000b,R11,198,37,34,34,11,11,0.323529
noscale,200g,1000b,R11,199,37,34,34,10,10,0.294118
noscale,200g,1000b,R11,200,37,34,34,11,11,0.323529
noscale,200g,1000b,R12,1,37,34,34,15,15,0.441176
noscale,200g,1000b,R12,2,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,3,37,34,34,16,16,0.470588
noscale,200g,1000b,R12,4,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,5,37,34,34,20,20,0.588235
noscale,200g,1000b,R12,6,37,34,34,15,15,0.441176
noscale,200g,1000b,R12,7,37,34,34,16,16,0.470588
noscale,200g,1000b,R12,8,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,9,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,10,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,11,37,34,34,11,11,0.323529
noscale,200g,1000b,R12,12,37,34,34,15,15,0.441176
noscale,200g,1000b,R12,13,37,34,34,17,17,0.500000
noscale,200g,1000b,R12,14,37,34,34,9,9,0.264706
noscale,200g,1000b,R12,15,37,34,34,13,13,0.382353
noscale,200g,1000b,R12,16,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,17,37,34,34,11,11,0.323529
noscale,200g,1000b,R12,18,37,34,34,18,18,0.529412
noscale,200g,1000b,R12,19,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,20,37,34,34,19,19,0.558824
noscale,200g,1000b,R12,21,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,22,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,23,37,34,34,11,11,0.323529
noscale,200g,1000b,R12,24,37,34,34,13,13,0.382353
noscale,200g,1000b,R12,25,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,26,37,34,34,13,13,0.382353
noscale,200g,1000b,R12,27,37,34,34,20,20,0.588235
noscale,200g,1000b,R12,28,37,34,34,10,10,0.294118
noscale,200g,1000b,R12,29,37,34,34,11,11,0.323529
noscale,200g,1000b,R12,30,37,34,34,13,13,0.382353
noscale,200g,1000b,R12,31,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,32,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,33,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,34,37,34,34,14,14,0.411765
noscale,200g,1000b,R12,35,37,34,34,15,15,0.441176
noscale,200g,1000b,R12,36,37,34,34,10,10,0.294118
noscale,200g,1000b,R12,37,37,34,34,18,18,0.529412
noscale,200g,1000b,R12,38,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,39,37,34,34,10,10,0.294118
noscale,200g,1000b,R12,40,37,34,34,16,16,0.470588
noscale,200g,1000b,R12,41,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,42,37,34,34,12,12,0.352941
noscale,200g,1000b,R12,43,37,34,34,11,11,0.323529
noscale,200g,1000b,R12,44,37,34,34,11,11,0.323529
